SQL> SELECT TO_CHAR(event_date,'YYYY-MM-DD') AS event_time, event AS event_name, COUNT(*) AS event_count
  2  FROM chef_event_archive
  3  WHERE
  4  event_date >= '01-JAN-05' AND event_date < '01-MAY-05'
  5  AND NOT (event='content.read' AND ref LIKE '/content/public/%')
  6  GROUP BY TO_CHAR(event_date,'YYYY-MM-DD'), event
  7  ORDER BY event_time, event;

EVENT_TIME EVENT_NAME                       EVENT_COUNT                         
---------- -------------------------------- -----------                         
2005-01-01 alias.add                                  4                         
2005-01-01 alias.del                                  2                         
2005-01-01 annc.delete.own                            2                         
2005-01-01 annc.new                                  47                         
2005-01-01 annc.revise.own                            6                         
2005-01-01 asn.new.assignment                         3                         
2005-01-01 asn.new.assignmentcontent                  3                         
2005-01-01 asn.revise.assignment                      6                         
2005-01-01 asn.revise.assignmentcontent               6                         
2005-01-01 asn.submit.submission                      1                         
2005-01-01 calendar.new                              40                         
2005-01-01 calendar.revise                          106                         
2005-01-01 chat.new                                   4                         
2005-01-01 content.delete                            98                         
2005-01-01 content.new                              560                         
2005-01-01 content.read                            2309                         
2005-01-01 content.revise                            66                         
2005-01-01 dis.path.add                               2                         
2005-01-01 dis.path.del                               2                         
2005-01-01 dis.status.add                           142                         
2005-01-01 dis.status.del                           142                         
2005-01-01 disc.new                                  24                         
2005-01-01 disc.revise.any                            1                         
2005-01-01 mail.new                                  12                         
2005-01-01 mail.revise.any                            1                         
2005-01-01 prefs.add                                  1                         
2005-01-01 prefs.upd                                  1                         
2005-01-01 realm.add                                 73                         
2005-01-01 realm.del                                 14                         
2005-01-01 realm.upd                                 57                         
2005-01-01 realm.upd.own                             21                         
2005-01-01 site.add                                  39                         
2005-01-01 site.del                                  11                         
2005-01-01 site.upd                                 120                         
2005-01-01 user.add                                   1                         
2005-01-01 user.login                              1139                         
2005-01-01 user.logout                             1119                         
2005-01-01                                           89                         
2005-01-02 alias.add                                 38                         
2005-01-02 alias.del                                 37                         
2005-01-02 annc.delete.any                            1                         
2005-01-02 annc.delete.own                            6                         
2005-01-02 annc.new                                 149                         
2005-01-02 annc.revise.own                            9                         
2005-01-02 asn.new.assignment                        42                         
2005-01-02 asn.new.assignmentcontent                 42                         
2005-01-02 asn.revise.assignment                     68                         
2005-01-02 asn.revise.assignmentcontent              29                         
2005-01-02 asn.save.submission                        1                         
2005-01-02 asn.submit.submission                    153                         
2005-01-02 calendar.new                              84                         
2005-01-02 calendar.revise                          307                         
2005-01-02 chat.delete.own                            1                         
2005-01-02 chat.new                                  22                         
2005-01-02 content.delete                           520                         
2005-01-02 content.new                             1128                         
2005-01-02 content.read                            4293                         
2005-01-02 content.revise                           169                         
2005-01-02 digest.del                                 3                         
2005-01-02 digest.upd                                25                         
2005-01-02 dis.path.add                               2                         
2005-01-02 dis.path.del                               1                         
2005-01-02 dis.status.add                           100                         
2005-01-02 dis.status.del                            68                         
2005-01-02 dis.status.upd                             6                         
2005-01-02 disc.delete.any                           44                         
2005-01-02 disc.delete.own                           26                         
2005-01-02 disc.new                                  41                         
2005-01-02 disc.revise.any                           10                         
2005-01-02 mail.new                                  28                         
2005-01-02 mail.revise.any                            1                         
2005-01-02 prefs.add                                  1                         
2005-01-02 realm.add                                150                         
2005-01-02 realm.del                                 32                         
2005-01-02 realm.upd                                135                         
2005-01-02 realm.upd.own                             62                         
2005-01-02 site.add                                 104                         
