SQL> SELECT TO_CHAR(event_date,'YYYY-MM-DD HH24')||':00:00' AS event_time, event AS event_name, COUNT(*) AS event_count
  2  FROM chef_event_archive
  3  WHERE
  4  event_date >= '01-JAN-05' AND event_date < '01-FEB-05'
  5  AND NOT (event='content.read' AND ref LIKE '/content/public/%')
  6  GROUP BY TO_CHAR(event_date,'YYYY-MM-DD HH24'), event
  7  ORDER BY event_time, event;

EVENT_TIME          EVENT_NAME                       EVENT_COUNT                
------------------- -------------------------------- -----------                
2005-01-01 00:00:00 chat.new                                   1                
2005-01-01 00:00:00 content.new                                8                
2005-01-01 00:00:00 content.read                              94                
2005-01-01 00:00:00 disc.new                                   1                
2005-01-01 00:00:00 mail.new                                   1                
2005-01-01 00:00:00 realm.add                                  2                
2005-01-01 00:00:00 realm.del                                  1                
2005-01-01 00:00:00 realm.upd                                  2                
2005-01-01 00:00:00 site.add                                   2                
2005-01-01 00:00:00 site.del                                   1                
2005-01-01 00:00:00 user.login                                64                
2005-01-01 00:00:00 user.logout                               60                
2005-01-01 01:00:00 annc.new                                   1                
2005-01-01 01:00:00 calendar.new                               1                
2005-01-01 01:00:00 content.new                                1                
2005-01-01 01:00:00 content.read                              87                
2005-01-01 01:00:00 mail.new                                   1                
2005-01-01 01:00:00 realm.add                                  1                
2005-01-01 01:00:00 realm.upd.own                              1                
2005-01-01 01:00:00 site.add                                   1                
2005-01-01 01:00:00 user.login                                45                
2005-01-01 01:00:00 user.logout                               50                
2005-01-01 02:00:00 calendar.revise                            2                
2005-01-01 02:00:00 content.delete                             1                
2005-01-01 02:00:00 content.new                                8                
2005-01-01 02:00:00 content.read                              51                
2005-01-01 02:00:00 content.revise                             1                
2005-01-01 02:00:00 user.login                                42                
2005-01-01 02:00:00 user.logout                               45                
2005-01-01 03:00:00 annc.new                                   2                
2005-01-01 03:00:00 calendar.new                               2                
2005-01-01 03:00:00 calendar.revise                           13                
2005-01-01 03:00:00 content.new                                3                
2005-01-01 03:00:00 content.read                             119                
2005-01-01 03:00:00 content.revise                             3                
2005-01-01 03:00:00 realm.add                                  2                
2005-01-01 03:00:00 site.add                                   2                
2005-01-01 03:00:00 user.login                                44                
2005-01-01 03:00:00 user.logout                               43                
2005-01-01 04:00:00 annc.new                                   2                
2005-01-01 04:00:00 calendar.new                               1                
2005-01-01 04:00:00 content.new                                1                
2005-01-01 04:00:00 content.read                              14                
2005-01-01 04:00:00 realm.add                                  2                
2005-01-01 04:00:00 realm.upd                                  1                
2005-01-01 04:00:00 site.add                                   2                
2005-01-01 04:00:00 site.upd                                   2                
2005-01-01 04:00:00 user.login                                21                
2005-01-01 04:00:00 user.logout                               24                
2005-01-01 05:00:00 annc.new                                   2                
2005-01-01 05:00:00 calendar.new                               1                
2005-01-01 05:00:00 content.delete                             4                
2005-01-01 05:00:00 content.new                                9                
2005-01-01 05:00:00 content.read                              31                
2005-01-01 05:00:00 content.revise                             1                
2005-01-01 05:00:00 realm.add                                  1                
2005-01-01 05:00:00 site.add                                   1                
2005-01-01 05:00:00 user.login                                23                
2005-01-01 05:00:00 user.logout                               24                
2005-01-01 06:00:00 content.read                              56                
2005-01-01 06:00:00 user.login                                24                
2005-01-01 06:00:00 user.logout                               24                
2005-01-01 07:00:00 content.read                              48                
2005-01-01 07:00:00 user.login                                18                
2005-01-01 07:00:00 user.logout                               19                
