date	event	count
1/1/2005	content.delete	98
1/1/2005	content.new	560
1/1/2005	content.read	5126
1/1/2005	content.revise	66
1/2/2005	content.delete	520
1/2/2005	content.new	1128
1/2/2005	content.read	9932
1/2/2005	content.revise	169
1/3/2005	content.delete	1110
1/3/2005	content.new	2986
1/3/2005	content.read	24379
1/3/2005	content.revise	340
1/4/2005	content.delete	834
1/4/2005	content.new	4271
1/4/2005	content.read	39835
1/4/2005	content.revise	435
1/5/2005	content.delete	1064
1/5/2005	content.new	4423
1/5/2005	content.read	75776
1/5/2005	content.revise	466
1/6/2005	content.delete	1541
1/6/2005	content.new	5249
1/6/2005	content.read	78138
1/6/2005	content.revise	492
1/7/2005	content.delete	559
1/7/2005	content.new	3820
1/7/2005	content.read	64607
1/7/2005	content.revise	354
1/8/2005	content.delete	351
1/8/2005	content.new	1286
1/8/2005	content.read	33391
1/8/2005	content.revise	107
1/9/2005	content.delete	101
1/9/2005	content.new	1635
1/9/2005	content.read	56356
1/9/2005	content.revise	120
1/10/2005	content.delete	249
1/10/2005	content.new	2751
1/10/2005	content.read	66793
1/10/2005	content.revise	127
1/11/2005	content.delete	1061
1/11/2005	content.new	4678
1/11/2005	content.read	105900
1/11/2005	content.revise	471
1/12/2005	content.delete	868
1/12/2005	content.new	5063
1/12/2005	content.read	116486
1/12/2005	content.revise	350
1/13/2005	content.delete	693
1/13/2005	content.new	4064
1/13/2005	content.read	91436
1/13/2005	content.revise	295
1/14/2005	content.delete	85
1/14/2005	content.new	1387
1/14/2005	content.read	41548
1/14/2005	content.revise	73
1/15/2005	content.delete	299
1/15/2005	content.new	1626
1/15/2005	content.read	35644
1/15/2005	content.revise	130
1/16/2005	content.delete	161
1/16/2005	content.new	1255
1/16/2005	content.read	37607
1/16/2005	content.revise	124
1/17/2005	content.delete	535
1/17/2005	content.new	3309
1/17/2005	content.read	72182
1/17/2005	content.revise	343
1/18/2005	content.delete	449
1/18/2005	content.new	5153
1/18/2005	content.read	124278
1/18/2005	content.revise	424
1/19/2005	content.delete	724
1/19/2005	content.new	4974
1/19/2005	content.read	102666
1/19/2005	content.revise	263
1/20/2005	content.delete	452
1/20/2005	content.new	4762
1/20/2005	content.read	89047
1/20/2005	content.revise	260
1/21/2005	content.delete	391
1/21/2005	content.new	3248
1/21/2005	content.read	57090
1/21/2005	content.revise	344
1/22/2005	content.delete	146
1/22/2005	content.new	1296
1/22/2005	content.read	32597
1/22/2005	content.revise	99
1/23/2005	content.delete	92
1/23/2005	content.new	1428
1/23/2005	content.read	50654
1/23/2005	content.revise	131
1/24/2005	content.delete	341
1/24/2005	content.new	4161
1/24/2005	content.read	100929
1/24/2005	content.revise	360
1/25/2005	content.delete	302
1/25/2005	content.new	4832
1/25/2005	content.read	108358
1/25/2005	content.revise	259
1/26/2005	content.delete	334
1/26/2005	content.new	4622
1/26/2005	content.read	87291
1/26/2005	content.revise	267
1/27/2005	content.delete	395
1/27/2005	content.new	4234
1/27/2005	content.read	84770
1/27/2005	content.revise	207
1/28/2005	content.delete	339
1/28/2005	content.new	2932
1/28/2005	content.read	47612
1/28/2005	content.revise	265
1/29/2005	content.delete	125
1/29/2005	content.new	1291
1/29/2005	content.read	35706
1/29/2005	content.revise	109
1/30/2005	content.delete	176
1/30/2005	content.new	1479
1/30/2005	content.read	53095
1/30/2005	content.revise	83
1/31/2005	content.delete	1941
1/31/2005	content.new	5300
1/31/2005	content.read	104648
1/31/2005	content.revise	317
2/1/2005	content.delete	533
2/1/2005	content.new	5218
2/1/2005	content.read	116302
2/1/2005	content.revise	331
2/2/2005	content.delete	466
2/2/2005	content.new	5374
2/2/2005	content.read	109174
2/2/2005	content.revise	404
2/3/2005	content.delete	405
2/3/2005	content.new	4016
2/3/2005	content.read	93214
2/3/2005	content.revise	347
2/4/2005	content.delete	338
2/4/2005	content.new	3164
2/4/2005	content.read	72951
2/4/2005	content.revise	396
2/5/2005	content.delete	153
2/5/2005	content.new	1553
2/5/2005	content.read	48989
2/5/2005	content.revise	120
2/6/2005	content.delete	274
2/6/2005	content.new	2053
2/6/2005	content.read	60882
2/6/2005	content.revise	83
2/7/2005	content.delete	318
2/7/2005	content.new	3939
2/7/2005	content.read	103120
2/7/2005	content.revise	276
2/8/2005	content.delete	316
2/8/2005	content.new	4140
2/8/2005	content.read	116363
2/8/2005	content.revise	269
2/9/2005	content.delete	275
2/9/2005	content.new	4087
