SQL> SELECT TO_CHAR(event_date,'YYYY-MM-DD HH24')||':00:00' AS event_hour, event AS event_name, COUNT(*) AS event_count
  2  FROM chef_event_archive
  3  WHERE
  4  event_date >= '01-JAN-05' AND event_date <= '01-FEB-05'
  5  AND (event='content.read' OR event='content.new' OR event='content.revise' or event='content.delete')
  6  AND ref NOT LIKE '/content/public/%'
  7  GROUP BY TO_CHAR(event_date,'YYYY-MM-DD HH24'), event
  8  ORDER BY event_hour, event_name;

EVENT_HOUR          EVENT_NAME                       EVENT_COUNT                
------------------- -------------------------------- -----------                
2005-01-01 00:00:00 content.new                                8                
2005-01-01 00:00:00 content.read                              94                
2005-01-01 01:00:00 content.new                                1                
2005-01-01 01:00:00 content.read                              87                
2005-01-01 02:00:00 content.delete                             1                
2005-01-01 02:00:00 content.new                                8                
2005-01-01 02:00:00 content.read                              51                
2005-01-01 02:00:00 content.revise                             1                
2005-01-01 03:00:00 content.new                                3                
2005-01-01 03:00:00 content.read                             119                
2005-01-01 03:00:00 content.revise                             3                
2005-01-01 04:00:00 content.new                                1                
2005-01-01 04:00:00 content.read                              14                
2005-01-01 05:00:00 content.delete                             4                
2005-01-01 05:00:00 content.new                                9                
2005-01-01 05:00:00 content.read                              31                
2005-01-01 05:00:00 content.revise                             1                
2005-01-01 06:00:00 content.read                              56                
2005-01-01 07:00:00 content.read                              48                
2005-01-01 08:00:00 content.new                                1                
2005-01-01 08:00:00 content.read                               7                
2005-01-01 09:00:00 content.read                               3                
2005-01-01 10:00:00 content.read                               2                
2005-01-01 11:00:00 content.read                               1                
2005-01-01 12:00:00 content.new                                1                
2005-01-01 12:00:00 content.read                               1                
2005-01-01 13:00:00 content.read                              12                
2005-01-01 14:00:00 content.delete                             2                
2005-01-01 14:00:00 content.new                               12                
2005-01-01 14:00:00 content.read                              38                
2005-01-01 14:00:00 content.revise                             1                
2005-01-01 15:00:00 content.delete                            14                
2005-01-01 15:00:00 content.new                               52                
2005-01-01 15:00:00 content.read                              45                
2005-01-01 15:00:00 content.revise                             7                
2005-01-01 16:00:00 content.delete                             5                
2005-01-01 16:00:00 content.new                               41                
2005-01-01 16:00:00 content.read                             327                
2005-01-01 16:00:00 content.revise                             4                
2005-01-01 17:00:00 content.delete                            25                
2005-01-01 17:00:00 content.new                              108                
2005-01-01 17:00:00 content.read                             330                
2005-01-01 17:00:00 content.revise                             1                
2005-01-01 18:00:00 content.new                               40                
2005-01-01 18:00:00 content.read                             230                
2005-01-01 19:00:00 content.delete                             9                
2005-01-01 19:00:00 content.new                               41                
2005-01-01 19:00:00 content.read                             136                
2005-01-01 19:00:00 content.revise                             6                
2005-01-01 20:00:00 content.delete                             4                
2005-01-01 20:00:00 content.new                               38                
2005-01-01 20:00:00 content.read                             117                
2005-01-01 20:00:00 content.revise                             5                
2005-01-01 21:00:00 content.delete                             4                
2005-01-01 21:00:00 content.new                               88                
2005-01-01 21:00:00 content.read                             172                
2005-01-01 21:00:00 content.revise                            27                
2005-01-01 22:00:00 content.delete                             4                
2005-01-01 22:00:00 content.new                               51                
2005-01-01 22:00:00 content.read                             129                
2005-01-01 22:00:00 content.revise                             4                
2005-01-01 23:00:00 content.delete                            26                
2005-01-01 23:00:00 content.new                               57                
2005-01-01 23:00:00 content.read                             259                
2005-01-01 23:00:00 content.revise                             6                
2005-01-02 00:00:00 content.delete                             5                
