login_hour	login_count
1/1/2005 0:00	64
1/1/2005 1:00	45
1/1/2005 2:00	42
1/1/2005 3:00	44
1/1/2005 4:00	21
1/1/2005 5:00	23
1/1/2005 6:00	24
1/1/2005 7:00	18
1/1/2005 8:00	12
1/1/2005 9:00	6
1/1/2005 10:00	6
1/1/2005 11:00	5
1/1/2005 12:00	11

1/1/2005 13:00	13
1/1/2005 14:00	38
1/1/2005 15:00	64
1/1/2005 16:00	84
1/1/2005 17:00	90
1/1/2005 18:00	91
1/1/2005 19:00	98
1/1/2005 20:00	83
1/1/2005 21:00	92
1/1/2005 22:00	71
1/1/2005 23:00	94
1/2/2005 0:00	74
1/2/2005 1:00	59

1/2/2005 2:00	116
1/2/2005 3:00	106
1/2/2005 4:00	99
1/2/2005 5:00	72
1/2/2005 6:00	49
1/2/2005 7:00	29
1/2/2005 8:00	22
1/2/2005 9:00	10
1/2/2005 10:00	7
1/2/2005 11:00	8
1/2/2005 12:00	10
1/2/2005 13:00	30
1/2/2005 14:00	61

1/2/2005 15:00	98
1/2/2005 16:00	121
1/2/2005 17:00	174
1/2/2005 18:00	188
1/2/2005 19:00	181
1/2/2005 20:00	170
1/2/2005 21:00	199
1/2/2005 22:00	188
1/2/2005 23:00	193
1/3/2005 0:00	164
1/3/2005 1:00	193
1/3/2005 2:00	199
1/3/2005 3:00	192

1/3/2005 4:00	182
1/3/2005 5:00	133
1/3/2005 6:00	72
1/3/2005 7:00	50
1/3/2005 8:00	31
1/3/2005 9:00	13
1/3/2005 10:00	19
1/3/2005 11:00	21
1/3/2005 12:00	57
1/3/2005 13:00	167
1/3/2005 14:00	303
1/3/2005 15:00	177
1/3/2005 16:00	493

1/3/2005 17:00	481
1/3/2005 18:00	490
1/3/2005 19:00	535
1/3/2005 20:00	485
1/3/2005 21:00	432
1/3/2005 22:00	389
1/3/2005 23:00	343
1/4/2005 0:00	333
1/4/2005 1:00	331
1/4/2005 2:00	293
1/4/2005 3:00	324
1/4/2005 4:00	261
1/4/2005 5:00	218

1/4/2005 6:00	155
1/4/2005 7:00	88
1/4/2005 8:00	39
1/4/2005 9:00	36
1/4/2005 10:00	9
1/4/2005 11:00	34
1/4/2005 12:00	94
1/4/2005 13:00	211
1/4/2005 14:00	398
1/4/2005 15:00	505
1/4/2005 16:00	591
1/4/2005 17:00	623
1/4/2005 18:00	709

1/4/2005 19:00	714
1/4/2005 20:00	798
1/4/2005 21:00	869
1/4/2005 22:00	696
1/4/2005 23:00	652
1/5/2005 0:00	644
1/5/2005 1:00	705
1/5/2005 2:00	677
1/5/2005 3:00	1034
1/5/2005 4:00	653
1/5/2005 5:00	543
1/5/2005 6:00	276
1/5/2005 7:00	122

1/5/2005 8:00	66
1/5/2005 9:00	27
1/5/2005 10:00	30
1/5/2005 11:00	58
1/5/2005 12:00	199
1/5/2005 13:00	643
1/5/2005 14:00	808
1/5/2005 15:00	1128
1/5/2005 16:00	1324
1/5/2005 17:00	1247
1/5/2005 18:00	1250
1/5/2005 19:00	1381
1/5/2005 20:00	1374

1/5/2005 21:00	1442
1/5/2005 22:00	1112
1/5/2005 23:00	1034
1/6/2005 0:00	1034
1/6/2005 1:00	976
1/6/2005 2:00	881
1/6/2005 3:00	832
1/6/2005 4:00	866
1/6/2005 5:00	439
1/6/2005 6:00	262
1/6/2005 7:00	117
1/6/2005 8:00	42
1/6/2005 9:00	18

1/6/2005 10:00	21
1/6/2005 11:00	59
1/6/2005 12:00	194
1/6/2005 13:00	523
1/6/2005 14:00	768
1/6/2005 15:00	1069
1/6/2005 16:00	1313
1/6/2005 17:00	1503
1/6/2005 18:00	1302
1/6/2005 19:00	1478
1/6/2005 20:00	1428
1/6/2005 21:00	1410
1/6/2005 22:00	1086

1/6/2005 23:00	1019
1/7/2005 0:00	981
1/7/2005 1:00	852
1/7/2005 2:00	908
1/7/2005 3:00	757
1/7/2005 4:00	616
1/7/2005 5:00	456
1/7/2005 6:00	240
1/7/2005 7:00	142
1/7/2005 8:00	57
1/7/2005 9:00	35
1/7/2005 10:00	21
1/7/2005 11:00	33

1/7/2005 12:00	116
1/7/2005 13:00	423
1/7/2005 14:00	726
1/7/2005 15:00	1064
1/7/2005 16:00	1050
1/7/2005 17:00	1074
1/7/2005 18:00	1043
1/7/2005 19:00	1045
1/7/2005 20:00	980
1/7/2005 21:00	903
1/7/2005 22:00	651
1/7/2005 23:00	467
1/8/2005 0:00	403

1/8/2005 1:00	310
1/8/2005 2:00	295
1/8/2005 3:00	262
1/8/2005 4:00	203
1/8/2005 5:00	165
1/8/2005 6:00	86
1/8/2005 7:00	80
1/8/2005 8:00	41
1/8/2005 9:00	23
1/8/2005 10:00	15
1/8/2005 11:00	20
1/8/2005 12:00	39
1/8/2005 13:00	67

1/8/2005 14:00	151
1/8/2005 15:00	277
1/8/2005 16:00	432
1/8/2005 17:00	585
1/8/2005 18:00	663
1/8/2005 19:00	716
1/8/2005 20:00	798
1/8/2005 21:00	706
1/8/2005 22:00	598
1/8/2005 23:00	513
1/9/2005 0:00	463
1/9/2005 1:00	389
1/9/2005 2:00	337

1/9/2005 3:00	302
1/9/2005 4:00	261
1/9/2005 5:00	215
1/9/2005 6:00	124
1/9/2005 7:00	90
1/9/2005 8:00	41
1/9/2005 9:00	25
1/9/2005 10:00	16
1/9/2005 11:00	13
1/9/2005 12:00	43
1/9/2005 13:00	85
1/9/2005 14:00	187
1/9/2005 15:00	368

1/9/2005 16:00	583
1/9/2005 17:00	830
1/9/2005 18:00	1090
1/9/2005 19:00	1344
1/9/2005 20:00	1406
1/9/2005 21:00	1450
1/9/2005 22:00	1321
1/9/2005 23:00	1355
1/10/2005 0:00	1394
1/10/2005 1:00	1536
1/10/2005 2:00	1504
1/10/2005 3:00	1869
1/10/2005 4:00	1590

1/10/2005 5:00	1032
1/10/2005 6:00	526
1/10/2005 7:00	242
1/10/2005 8:00	83
1/10/2005 9:00	58
1/10/2005 10:00	44
1/10/2005 11:00	79
1/10/2005 12:00	250
1/10/2005 13:00	771
1/10/2005 14:00	1143
1/10/2005 15:00	1550
1/10/2005 16:00	1454
1/10/2005 17:00	1001

1/10/2005 18:00	666
1/10/2005 19:00	80
1/10/2005 20:00	604
1/10/2005 21:00	557
1/10/2005 22:00	615
1/10/2005 23:00	348
1/11/2005 0:00	786
1/11/2005 1:00	159
1/11/2005 2:00	423
1/11/2005 3:00	485
1/11/2005 4:00	880
1/11/2005 12:00	2
1/11/2005 13:00	1429

1/11/2005 14:00	1799
1/11/2005 15:00	1983
1/11/2005 16:00	2325
1/11/2005 17:00	2422
1/11/2005 18:00	2115
1/11/2005 19:00	2111
1/11/2005 20:00	2084
1/11/2005 21:00	2088
1/11/2005 22:00	1742
1/11/2005 23:00	1750
1/12/2005 0:00	1705
1/12/2005 1:00	1720
1/12/2005 2:00	1627

1/12/2005 3:00	1686
1/12/2005 4:00	1441
1/12/2005 5:00	1025
1/12/2005 6:00	502
1/12/2005 7:00	225
1/12/2005 8:00	82
1/12/2005 9:00	41
1/12/2005 10:00	34
1/12/2005 11:00	74
1/12/2005 12:00	255
1/12/2005 13:00	698
1/12/2005 14:00	1123
1/12/2005 15:00	1524

1/12/2005 16:00	1790
1/12/2005 17:00	1687
1/12/2005 18:00	1741
1/12/2005 19:00	1639
1/12/2005 20:00	1606
1/12/2005 21:00	1768
1/12/2005 22:00	1502
1/12/2005 23:00	1400
1/13/2005 0:00	1402
1/13/2005 1:00	1445
1/13/2005 2:00	1588
1/13/2005 3:00	1629
1/13/2005 4:00	1477

1/13/2005 5:00	969
1/13/2005 6:00	508
1/13/2005 7:00	247
1/13/2005 8:00	92
1/13/2005 9:00	50
1/13/2005 10:00	30
1/13/2005 11:00	61
1/13/2005 12:00	258
1/13/2005 13:00	688
1/13/2005 14:00	962
1/13/2005 15:00	1243
1/13/2005 16:00	1514
1/13/2005 17:00	1598

1/13/2005 18:00	1610
1/13/2005 19:00	1811
1/13/2005 20:00	1076
1/13/2005 21:00	943
1/13/2005 22:00	1111
1/13/2005 23:00	985
1/14/2005 0:00	1389
1/14/2005 1:00	1163
1/14/2005 2:00	11
1/14/2005 3:00	542
1/14/2005 4:00	1027
1/14/2005 5:00	587
1/14/2005 6:00	292

1/14/2005 7:00	178
1/14/2005 8:00	80
1/14/2005 9:00	28
1/14/2005 10:00	39
1/14/2005 11:00	63
1/14/2005 12:00	154
1/14/2005 13:00	465
1/14/2005 14:00	718
1/14/2005 15:00	1283
1/14/2005 16:00	126
1/14/2005 17:00	360
1/14/2005 18:00	1199
1/14/2005 19:00	950

1/14/2005 20:00	2085
1/14/2005 21:00	1523
1/14/2005 22:00	801
1/14/2005 23:00	524
1/15/2005 0:00	483
1/15/2005 1:00	388
1/15/2005 2:00	343
1/15/2005 3:00	305
