SQL> SELECT TO_CHAR(event_date,'YYYY-MM-DD') AS event_time, COUNT(*) AS event_count
  2  FROM chef_event_archive
  3  WHERE event='user.login'
  4  AND event_date >= '01-JAN-05' AND event_date <= '01-MAY-05'
  5  GROUP BY TO_CHAR(event_date,'YYYY-MM-DD')
  6  ORDER BY event_time;

EVENT_TIME EVENT_COUNT                                                          
---------- -----------                                                          
2005-01-01        1139                                                          
2005-01-02        2264                                                          
2005-01-03        5621                                                          
2005-01-04        8981                                                          
2005-01-05       17777                                                          
2005-01-06       18640                                                          
2005-01-07       14640                                                          
2005-01-08        7448                                                          
2005-01-09       12338                                                          
2005-01-10       18996                                                          
2005-01-11       24583                                                          
2005-01-12       26895                                                          
2005-01-13       23297                                                          
2005-01-14       15587                                                          
2005-01-15        7236                                                          
2005-01-16        8101                                                          
2005-01-17       16592                                                          
2005-01-18       28830                                                          
2005-01-19       25090                                                          
2005-01-20       22412                                                          
2005-01-21       13685                                                          
2005-01-22        7737                                                          
2005-01-23       11807                                                          
2005-01-24       24427                                                          
2005-01-25       26432                                                          
2005-01-26       21860                                                          
2005-01-27       20857                                                          
2005-01-28       12084                                                          
2005-01-29        8400                                                          
2005-01-30       12846                                                          
2005-01-31       25514                                                          
2005-02-01       26787                                                          
2005-02-02       25113                                                          
2005-02-03       21263                                                          
2005-02-04       15180                                                          
2005-02-05        9491                                                          
2005-02-06       12667                                                          
2005-02-07       22866                                                          
2005-02-08       26237                                                          
2005-02-09       24286                                                          
2005-02-10       21703                                                          
2005-02-11       16720                                                          
2005-02-12        8634                                                          
2005-02-13       12991                                                          
2005-02-14       24153                                                          
2005-02-15       25343                                                          
2005-02-16       24014                                                          
2005-02-17       22666                                                          
2005-02-18       16377                                                          
2005-02-19        9975                                                          
2005-02-20       14132                                                          
2005-02-21       26142                                                          
2005-02-22       27613                                                          
2005-02-23       24758                                                          
2005-02-24       19145                                                          
2005-02-25        9586                                                          
2005-02-26        3227                                                          
2005-02-27        2764                                                          
2005-02-28        4051                                                          
2005-03-01        4191                                                          
2005-03-02        4314                                                          
2005-03-03        4258                                                          
2005-03-04        4096                                                          
2005-03-05        4140                                                          
2005-03-06        7913                                                          
2005-03-07       23484                                                          
2005-03-08       25240                                                          
2005-03-09       18730                                                          
2005-03-10       20906                                                          
2005-03-11       13991                                                          
2005-03-12        7863                                                          
2005-03-13       11870                                                          
2005-03-14       23770                                                          
2005-03-15       24769                                                          
2005-03-16       21732                                                          
2005-03-17       19110                                                          
2005-03-18       14828                                                          
2005-03-19        8093                                                          
2005-03-20       11790                                                          
2005-03-21       24180                                                          
2005-03-22       24186                                                          
2005-03-23       20963                                                          
2005-03-24       17873                                                          
2005-03-25       13026                                                          
2005-03-26        6716                                                          
2005-03-27        8529                                                          
2005-03-28       22755                                                          
2005-03-29       22898                                                          
2005-03-30       20296                                                          
2005-03-31       18024                                                          
2005-04-01       12671                                                          
2005-04-02        6694                                                          
2005-04-03       10425                                                          
2005-04-04       21101                                                          
2005-04-05       20377                                                          
2005-04-06       17396                                                          
2005-04-07       16435                                                          
2005-04-08       11073                                                          
2005-04-09        6384                                                          
2005-04-10       10114                                                          
2005-04-11       21710                                                          
2005-04-12       21718                                                          
2005-04-13       19124                                                          
2005-04-14       18055                                                          
2005-04-15       15091                                                          
2005-04-16       10207                                                          
2005-04-17       14809                                                          
2005-04-18       26281                                                          
2005-04-19       22992                                                          
2005-04-20       17546                                                          
2005-04-21       19674                                                          
2005-04-22       17168                                                          
2005-04-23       11025                                                          
2005-04-24       14003                                                          
2005-04-25       21814                                                          
2005-04-26       18569                                                          
2005-04-27           9                                                          

117 rows selected.

SQL> SPOOL OFF
