EVENT_HOUR	EVENT_COUNT
1/1/2005 0:00	77
1/1/2005 1:00	72
1/1/2005 2:00	43
1/1/2005 3:00	55
1/1/2005 4:00	29
1/1/2005 5:00	28
1/1/2005 6:00	25
1/1/2005 7:00	27
1/1/2005 8:00	15
1/1/2005 9:00	8
1/1/2005 10:00	8
1/1/2005 11:00	7
1/1/2005 12:00	14
1/1/2005 13:00	17
1/1/2005 14:00	41
1/1/2005 15:00	84
1/1/2005 16:00	98
1/1/2005 17:00	109
1/1/2005 18:00	107
1/1/2005 19:00	121
1/1/2005 20:00	110
1/1/2005 21:00	102
1/1/2005 22:00	95
1/1/2005 23:00	115
1/2/2005 0:00	82
1/2/2005 1:00	96
1/2/2005 2:00	143
1/2/2005 3:00	119
1/2/2005 4:00	127
1/2/2005 5:00	120
1/2/2005 6:00	68
1/2/2005 7:00	48
1/2/2005 8:00	35
1/2/2005 9:00	13
1/2/2005 10:00	8
1/2/2005 11:00	10
1/2/2005 12:00	13
1/2/2005 13:00	33
1/2/2005 14:00	74
1/2/2005 15:00	117
1/2/2005 16:00	145
1/2/2005 17:00	208
1/2/2005 18:00	219
1/2/2005 19:00	222
1/2/2005 20:00	195
1/2/2005 21:00	239
1/2/2005 22:00	239
1/2/2005 23:00	244
1/3/2005 0:00	212
1/3/2005 1:00	225
1/3/2005 2:00	231
1/3/2005 3:00	237
1/3/2005 4:00	218
1/3/2005 5:00	175
1/3/2005 6:00	85
1/3/2005 7:00	67
1/3/2005 8:00	41
1/3/2005 9:00	23
1/3/2005 10:00	18
1/3/2005 11:00	20
1/3/2005 12:00	98
1/3/2005 13:00	228
1/3/2005 14:00	378
1/3/2005 15:00	242
1/3/2005 16:00	627
1/3/2005 17:00	602
1/3/2005 18:00	611
1/3/2005 19:00	609
1/3/2005 20:00	602
1/3/2005 21:00	508
1/3/2005 22:00	513
1/3/2005 23:00	416
1/4/2005 0:00	380
1/4/2005 1:00	397
1/4/2005 2:00	370
1/4/2005 3:00	412
1/4/2005 4:00	338
1/4/2005 5:00	254
1/4/2005 6:00	182
1/4/2005 7:00	102
1/4/2005 8:00	61
1/4/2005 9:00	49
1/4/2005 10:00	8
1/4/2005 11:00	43
1/4/2005 12:00	114
1/4/2005 13:00	263
1/4/2005 14:00	486
1/4/2005 15:00	702
1/4/2005 16:00	699
1/4/2005 17:00	813
1/4/2005 18:00	926
1/4/2005 19:00	969
1/4/2005 20:00	1003
1/4/2005 21:00	1041
1/4/2005 22:00	877
1/4/2005 23:00	789
1/5/2005 0:00	781
1/5/2005 1:00	890
1/5/2005 2:00	857
1/5/2005 3:00	893
1/5/2005 4:00	840
1/5/2005 5:00	659
1/5/2005 6:00	341
1/5/2005 7:00	160
1/5/2005 8:00	85
1/5/2005 9:00	29
1/5/2005 10:00	40
1/5/2005 11:00	63
1/5/2005 12:00	248
1/5/2005 13:00	708
1/5/2005 14:00	1006
1/5/2005 15:00	1523
1/5/2005 16:00	1721
1/5/2005 17:00	1705
1/5/2005 18:00	1706
1/5/2005 19:00	1863
1/5/2005 20:00	1837
1/5/2005 21:00	1881
1/5/2005 22:00	1444
1/5/2005 23:00	1297
1/6/2005 0:00	1257
1/6/2005 1:00	1237
1/6/2005 2:00	1134
1/6/2005 3:00	1026
1/6/2005 4:00	1050
1/6/2005 5:00	540
1/6/2005 6:00	310
1/6/2005 7:00	131
1/6/2005 8:00	62
1/6/2005 9:00	25
1/6/2005 10:00	21
1/6/2005 11:00	67
1/6/2005 12:00	227
1/6/2005 13:00	635
1/6/2005 14:00	991
1/6/2005 15:00	1352
1/6/2005 16:00	1720
1/6/2005 17:00	1848
1/6/2005 18:00	1620
1/6/2005 19:00	1866
1/6/2005 20:00	1865
1/6/2005 21:00	1805
1/6/2005 22:00	1427
1/6/2005 23:00	1251
1/7/2005 0:00	1192
1/7/2005 1:00	1082
1/7/2005 2:00	1118
1/7/2005 3:00	965
1/7/2005 4:00	801
1/7/2005 5:00	576
1/7/2005 6:00	326
1/7/2005 7:00	180
1/7/2005 8:00	69
1/7/2005 9:00	43
1/7/2005 10:00	23
1/7/2005 11:00	46
1/7/2005 12:00	148
1/7/2005 13:00	506
1/7/2005 14:00	877
1/7/2005 15:00	1376
1/7/2005 16:00	1412
1/7/2005 17:00	1359
1/7/2005 18:00	1329
1/7/2005 19:00	1308
1/7/2005 20:00	1212
1/7/2005 21:00	1139
1/7/2005 22:00	850
1/7/2005 23:00	571
1/8/2005 0:00	468
1/8/2005 1:00	364
1/8/2005 2:00	355
1/8/2005 3:00	296
1/8/2005 4:00	264
1/8/2005 5:00	212
1/8/2005 6:00	121
1/8/2005 7:00	112
1/8/2005 8:00	53
1/8/2005 9:00	34
1/8/2005 10:00	17
1/8/2005 11:00	19
1/8/2005 12:00	55
1/8/2005 13:00	78
1/8/2005 14:00	168
1/8/2005 15:00	336
1/8/2005 16:00	501
1/8/2005 17:00	696
1/8/2005 18:00	809
1/8/2005 19:00	901
1/8/2005 20:00	1005
1/8/2005 21:00	871
1/8/2005 22:00	765
1/8/2005 23:00	637
1/9/2005 0:00	582
1/9/2005 1:00	512
1/9/2005 2:00	384
1/9/2005 3:00	374
1/9/2005 4:00	342
1/9/2005 5:00	281
1/9/2005 6:00	162
1/9/2005 7:00	119
1/9/2005 8:00	48
1/9/2005 9:00	34
1/9/2005 10:00	16
1/9/2005 11:00	27
1/9/2005 12:00	48
1/9/2005 13:00	100
1/9/2005 14:00	234
1/9/2005 15:00	447
1/9/2005 16:00	674
1/9/2005 17:00	974
1/9/2005 18:00	1315
1/9/2005 19:00	1586
1/9/2005 20:00	1680
1/9/2005 21:00	1747
1/9/2005 22:00	1524
1/9/2005 23:00	1538
1/10/2005 0:00	1589
1/10/2005 1:00	1687
1/10/2005 2:00	1647
1/10/2005 3:00	2061
1/10/2005 4:00	1738
1/10/2005 5:00	1194
1/10/2005 6:00	598
1/10/2005 7:00	287
1/10/2005 8:00	95
1/10/2005 9:00	70
1/10/2005 10:00	52
1/10/2005 11:00	89
1/10/2005 12:00	294
1/10/2005 13:00	928
1/10/2005 14:00	1349
1/10/2005 15:00	1895
1/10/2005 16:00	1801
1/10/2005 17:00	794
1/10/2005 18:00	466
1/10/2005 19:00	3
1/10/2005 20:00	635
1/10/2005 21:00	577
1/10/2005 22:00	665
1/11/2005 0:00	774
1/11/2005 1:00	122
1/11/2005 2:00	431
1/11/2005 3:00	494
1/11/2005 4:00	878
1/11/2005 11:00	1
1/11/2005 12:00	4
1/11/2005 13:00	1684
1/11/2005 14:00	2196
1/11/2005 15:00	2337
1/11/2005 16:00	2914
1/11/2005 17:00	2988
1/11/2005 18:00	2588
1/11/2005 19:00	2665
1/11/2005 20:00	2566
1/11/2005 21:00	2642
1/11/2005 22:00	2127
1/11/2005 23:00	2038
1/12/2005 0:00	1971
1/12/2005 1:00	2057
1/12/2005 2:00	1937
1/12/2005 3:00	1936
1/12/2005 4:00	1735
1/12/2005 5:00	1212
1/12/2005 6:00	606
1/12/2005 7:00	263
1/12/2005 8:00	90
1/12/2005 9:00	58
1/12/2005 10:00	31
1/12/2005 11:00	91
1/12/2005 12:00	310
1/12/2005 13:00	832
1/12/2005 14:00	1361
1/12/2005 15:00	1771
1/12/2005 16:00	2188
1/12/2005 17:00	2111
1/12/2005 18:00	2101
1/12/2005 19:00	2022
1/12/2005 20:00	1933
1/12/2005 21:00	2049
1/12/2005 22:00	1814
1/12/2005 23:00	1626
1/13/2005 0:00	1618
1/13/2005 1:00	1677
1/13/2005 2:00	1808
1/13/2005 3:00	1912
1/13/2005 4:00	1684
1/13/2005 5:00	1060
1/13/2005 6:00	599
1/13/2005 7:00	269
1/13/2005 8:00	125
1/13/2005 9:00	46
1/13/2005 10:00	45
1/13/2005 11:00	75
1/13/2005 12:00	319
1/13/2005 13:00	839
1/13/2005 14:00	1151
1/13/2005 15:00	1448
1/13/2005 16:00	1883
1/13/2005 17:00	1957
1/13/2005 18:00	1986
1/13/2005 19:00	1872
1/13/2005 20:00	1960
1/13/2005 21:00	1570
1/13/2005 22:00	1401
1/13/2005 23:00	1346
1/14/2005 0:00	1135
1/14/2005 1:00	1057
1/14/2005 2:00	10
1/14/2005 3:00	611
1/14/2005 4:00	1141
1/14/2005 5:00	708
1/14/2005 6:00	341
1/14/2005 7:00	191
1/14/2005 8:00	79
1/14/2005 9:00	35
1/14/2005 10:00	45
1/14/2005 11:00	74
1/14/2005 12:00	173
1/14/2005 13:00	553
1/14/2005 14:00	835
1/14/2005 15:00	1423
1/14/2005 16:00	197
1/14/2005 17:00	382
1/14/2005 18:00	1674
1/14/2005 19:00	1175
1/14/2005 20:00	1142
1/14/2005 21:00	1163
1/14/2005 22:00	873
1/14/2005 23:00	653
1/15/2005 0:00	583
1/15/2005 1:00	460
1/15/2005 2:00	422
1/15/2005 3:00	363
1/15/2005 4:00	308
1/15/2005 5:00	239
1/15/2005 6:00	142
1/15/2005 7:00	95
1/15/2005 8:00	48
1/15/2005 9:00	22
1/15/2005 10:00	16
1/15/2005 11:00	18
1/15/2005 12:00	33
1/15/2005 13:00	103
1/15/2005 14:00	250
1/15/2005 15:00	375
1/15/2005 16:00	531
1/15/2005 17:00	601
1/15/2005 18:00	649
1/15/2005 19:00	764
1/15/2005 20:00	829
1/15/2005 21:00	730
1/15/2005 22:00	603
1/15/2005 23:00	514
1/16/2005 0:00	411
1/16/2005 1:00	374
1/16/2005 2:00	334
1/16/2005 3:00	320
1/16/2005 4:00	274
1/16/2005 5:00	216
1/16/2005 6:00	140
1/16/2005 7:00	74
1/16/2005 8:00	30
1/16/2005 9:00	24
1/16/2005 10:00	8
1/16/2005 11:00	6
1/16/2005 12:00	27
1/16/2005 13:00	101
1/16/2005 14:00	187
1/16/2005 15:00	308
1/16/2005 16:00	441
1/16/2005 17:00	656
1/16/2005 18:00	887
