SQL> SELECT TO_CHAR(session_start,'YYYY-MM-DD') AS session_day, COUNT(*) AS session_count
  2  FROM chef_session_archive
  3  WHERE session_start <> session_end AND session_end > session_start
  4  AND session_start >= '01-JAN-05' AND session_start <= '01-MAY-05'
  5  GROUP BY TO_CHAR(session_start,'YYYY-MM-DD')
  6  ORDER BY session_day;

SESSION_DA SESSION_COUNT                                                        
---------- -------------                                                        
0000-00-00             1                                                        
2005-01-01          1139                                                        
2005-01-02          2264                                                        
2005-01-03          5629                                                        
2005-01-04          8984                                                        
2005-01-05         17808                                                        
2005-01-06         18641                                                        
2005-01-07         14654                                                        
2005-01-08          7454                                                        
2005-01-09         12360                                                        
2005-01-10         19366                                                        
2005-01-11         24519                                                        
2005-01-12         26903                                                        
2005-01-13         23260                                                        
2005-01-14         14517                                                        
2005-01-15          7253                                                        
2005-01-16          8103                                                        
2005-01-17         16604                                                        
2005-01-18         28841                                                        
2005-01-19         25102                                                        
2005-01-20         22419                                                        
2005-01-21         13690                                                        
2005-01-22          7892                                                        
2005-01-23         11817                                                        
2005-01-24         24459                                                        
2005-01-25         26437                                                        
2005-01-26         21862                                                        
2005-01-27         20863                                                        
2005-01-28         12171                                                        
2005-01-29          8404                                                        
2005-01-30         12848                                                        
2005-01-31         25549                                                        
2005-02-01         26839                                                        
2005-02-02         25132                                                        
2005-02-03         21412                                                        
2005-02-04         15191                                                        
2005-02-05          9485                                                        
2005-02-06         12669                                                        
2005-02-07         22692                                                        
2005-02-08         26241                                                        
2005-02-09         24285                                                        
2005-02-10         21704                                                        
2005-02-11         16725                                                        
2005-02-12          8698                                                        
2005-02-13         12998                                                        
2005-02-14         24198                                                        
2005-02-15         25474                                                        
2005-02-16         24034                                                        
2005-02-17         22693                                                        
2005-02-18         16385                                                        
2005-02-19          9976                                                        
2005-02-20         14147                                                        
2005-02-21         26162                                                        
2005-02-22         27623                                                        
2005-02-23         24761                                                        
2005-02-24         19156                                                        
2005-02-25          9594                                                        
2005-02-26          3228                                                        
2005-02-27          2764                                                        
2005-02-28          4051                                                        
2005-03-01          4195                                                        
2005-03-02          4315                                                        
2005-03-03          4263                                                        
2005-03-04          4101                                                        
2005-03-05          4141                                                        
2005-03-06          7913                                                        
2005-03-07         23501                                                        
2005-03-08         25373                                                        
2005-03-09         18732                                                        
2005-03-10         20920                                                        
2005-03-11         14004                                                        
2005-03-12          7873                                                        
2005-03-13         11870                                                        
2005-03-14         23779                                                        
2005-03-15         24785                                                        
2005-03-16         21752                                                        
2005-03-17         19119                                                        
2005-03-18         14832                                                        
2005-03-19          8100                                                        
2005-03-20         11793                                                        
2005-03-21         24737                                                        
2005-03-22         25665                                                        
2005-03-23         20981                                                        
2005-03-24         17880                                                        
2005-03-25         13036                                                        
2005-03-26          6721                                                        
2005-03-27          8530                                                        
2005-03-28         22764                                                        
2005-03-29         22920                                                        
2005-03-30         20302                                                        
2005-03-31         18029                                                        
2005-04-01         12675                                                        
2005-04-02          6698                                                        
2005-04-03         10427                                                        
2005-04-04         21114                                                        
2005-04-05         20393                                                        
2005-04-06         17731                                                        
2005-04-07         16445                                                        
2005-04-08         11078                                                        
2005-04-09          6390                                                        
2005-04-10         10116                                                        
2005-04-11         21737                                                        
2005-04-12         21724                                                        
2005-04-13         19130                                                        
2005-04-14         18072                                                        
2005-04-15             1                                                        

106 rows selected.

SQL> SPOOL OFF
