SQL> SELECT TO_CHAR(session_start,'YYYY-MM-DD HH24')||':00:00' AS session_hour, COUNT(*) AS session_count
  2  FROM chef_session_archive
  3  WHERE session_start <> session_end AND session_end > session_start
  4  AND session_start >= '01-JAN-05' AND session_start <= '01-FEB-05'
  5  GROUP BY TO_CHAR(session_start,'YYYY-MM-DD HH24')
  6  ORDER BY session_hour;

SESSION_HOUR        SESSION_COUNT                                               
------------------- -------------                                               
0000-00-00 00:00:00             1                                               
2005-01-01 00:00:00            64                                               
2005-01-01 01:00:00            45                                               
2005-01-01 02:00:00            42                                               
2005-01-01 03:00:00            44                                               
2005-01-01 04:00:00            21                                               
2005-01-01 05:00:00            23                                               
2005-01-01 06:00:00            24                                               
2005-01-01 07:00:00            18                                               
2005-01-01 08:00:00            12                                               
2005-01-01 09:00:00             6                                               
2005-01-01 10:00:00             6                                               
2005-01-01 11:00:00             5                                               
2005-01-01 12:00:00            11                                               
2005-01-01 13:00:00            13                                               
2005-01-01 14:00:00            38                                               
2005-01-01 15:00:00            64                                               
2005-01-01 16:00:00            84                                               
2005-01-01 17:00:00            90                                               
2005-01-01 18:00:00            91                                               
2005-01-01 19:00:00            98                                               
2005-01-01 20:00:00            83                                               
2005-01-01 21:00:00            92                                               
2005-01-01 22:00:00            71                                               
2005-01-01 23:00:00            94                                               
2005-01-02 00:00:00            74                                               
2005-01-02 01:00:00            59                                               
2005-01-02 02:00:00           116                                               
2005-01-02 03:00:00           106                                               
2005-01-02 04:00:00            99                                               
2005-01-02 05:00:00            72                                               
2005-01-02 06:00:00            49                                               
2005-01-02 07:00:00            29                                               
2005-01-02 08:00:00            22                                               
2005-01-02 09:00:00            10                                               
2005-01-02 10:00:00             7                                               
2005-01-02 11:00:00             8                                               
2005-01-02 12:00:00            10                                               
2005-01-02 13:00:00            30                                               
2005-01-02 14:00:00            61                                               
2005-01-02 15:00:00            98                                               
2005-01-02 16:00:00           121                                               
2005-01-02 17:00:00           174                                               
2005-01-02 18:00:00           188                                               
2005-01-02 19:00:00           181                                               
2005-01-02 20:00:00           170                                               
2005-01-02 21:00:00           199                                               
2005-01-02 22:00:00           188                                               
2005-01-02 23:00:00           193                                               
2005-01-03 00:00:00           164                                               
2005-01-03 01:00:00           193                                               
2005-01-03 02:00:00           199                                               
2005-01-03 03:00:00           192                                               
2005-01-03 04:00:00           182                                               
2005-01-03 05:00:00           133                                               
2005-01-03 06:00:00            72                                               
2005-01-03 07:00:00            50                                               
2005-01-03 08:00:00            31                                               
2005-01-03 09:00:00            13                                               
2005-01-03 10:00:00            19                                               
2005-01-03 11:00:00            21                                               
2005-01-03 12:00:00            57                                               
2005-01-03 13:00:00           173                                               
2005-01-03 14:00:00           303                                               
2005-01-03 15:00:00           177                                               
2005-01-03 16:00:00           492                                               
2005-01-03 17:00:00           482                                               
