SQL> SELECT TO_CHAR(event_date,'YYYY-MM-DD') AS event_time, COUNT(*) AS event_count
  2  FROM chef_event_archive
  3  WHERE event='site.add'
  4  AND event_date >= '01-JAN-05' AND event_date <= '01-MAY-05'
  5  GROUP BY TO_CHAR(event_date,'YYYY-MM-DD')
  6  ORDER BY event_time;

EVENT_TIME EVENT_COUNT                                                          
---------- -----------                                                          
2005-01-01          39                                                          
2005-01-02         104                                                          
2005-01-03         282                                                          
2005-01-04         486                                                          
2005-01-05         930                                                          
2005-01-06         842                                                          
2005-01-07         544                                                          
2005-01-08         184                                                          
2005-01-09         289                                                          
2005-01-10         358                                                          
2005-01-11         542                                                          
2005-01-12         554                                                          
2005-01-13         351                                                          
2005-01-14         177                                                          
2005-01-15          69                                                          
2005-01-16          79                                                          
2005-01-17         189                                                          
2005-01-18         269                                                          
2005-01-19         246                                                          
2005-01-20         173                                                          
2005-01-21         113                                                          
2005-01-22          25                                                          
2005-01-23          64                                                          
2005-01-24         183                                                          
2005-01-25         149                                                          
2005-01-26         127                                                          
2005-01-27         141                                                          
2005-01-28          64                                                          
2005-01-29          47                                                          
2005-01-30          53                                                          
2005-01-31         135                                                          
2005-02-01         126                                                          
2005-02-02         121                                                          
2005-02-03          99                                                          
2005-02-04          85                                                          
2005-02-05          32                                                          
2005-02-06          21                                                          
2005-02-07          96                                                          
2005-02-08          88                                                          
2005-02-09          70                                                          
2005-02-10          76                                                          
2005-02-11          53                                                          
2005-02-12          17                                                          
2005-02-13          28                                                          
2005-02-14          85                                                          
2005-02-15          79                                                          
2005-02-16          59                                                          
2005-02-17          92                                                          
2005-02-18          68                                                          
2005-02-19          17                                                          
2005-02-20          19                                                          
2005-02-21          69                                                          
2005-02-22          70                                                          
2005-02-23          50                                                          
2005-02-24          55                                                          
2005-02-25          44                                                          
2005-02-26          12                                                          
2005-02-27          22                                                          
2005-02-28         104                                                          
2005-03-01          26                                                          
2005-03-02          47                                                          
2005-03-03          36                                                          
2005-03-04          36                                                          
2005-03-05          13                                                          
2005-03-06          19                                                          
2005-03-07          77                                                          
2005-03-08          42                                                          
2005-03-09          50                                                          
2005-03-10          57                                                          
2005-03-11          62                                                          
2005-03-12          12                                                          
2005-03-13          21                                                          
2005-03-14          43                                                          
2005-03-15          75                                                          
2005-03-16          57                                                          
2005-03-17          50                                                          
2005-03-18          36                                                          
2005-03-19          18                                                          
2005-03-20          16                                                          
2005-03-21          41                                                          
2005-03-22          69                                                          
2005-03-23          41                                                          
2005-03-24          46                                                          
2005-03-25          35                                                          
2005-03-26          11                                                          
2005-03-27          11                                                          
2005-03-28          52                                                          
2005-03-29          48                                                          
2005-03-30          60                                                          
2005-03-31          62                                                          
2005-04-01          55                                                          
2005-04-02           9                                                          
2005-04-03          15                                                          
2005-04-04          65                                                          
2005-04-05          51                                                          
2005-04-06          36                                                          
2005-04-07          36                                                          
2005-04-08          32                                                          
2005-04-09          11                                                          
2005-04-10          12                                                          
2005-04-11          33                                                          
2005-04-12          44                                                          
2005-04-13          32                                                          
2005-04-14          39                                                          
2005-04-15          38                                                          
2005-04-16          13                                                          
2005-04-17          11                                                          
2005-04-18          28                                                          
2005-04-19          43                                                          
2005-04-20          48                                                          
2005-04-21          54                                                          
2005-04-22          43                                                          
2005-04-23          11                                                          
2005-04-24          15                                                          
2005-04-25          63                                                          
2005-04-26          46                                                          

116 rows selected.

SQL> SPOOL OFF
