BRANCH REVISION UPDATES LOG
20090827131827: sakai-2.6.x-qa -r66089 starting revision
20090910135242: sakai-2.6.x-qa -r66089 updated to -r66400
20090917130125: sakai-2.6.x-qa -r66400 updated to -r66560
20090917142821: sakai-2.6.x-qa -r66560 updated to -r66591
20090923232702: sakai-2.6.x-qa -r66591 updated to -r66763
20090930193932: sakai-2.6.x-qa -r66763 updated to -r66996
20091002144915: sakai-2.6.x-qa -r66996 updated to -r67107
20091005152257: sakai-2.6.x-qa -r67107 updated to -r67199
20091005172333: sakai-2.6.x-qa -r67199 updated to -r67214
20091007094820: sakai-2.6.x-qa -r67214 updated to -r67300

20091008162836: sakai-2.6.x-qa -r67300 updated to -r67335
20091008171507: sakai-2.6.x-qa -r67335 updated to -r67394
